iso,round,variant,loop_wall_s,e2e_s,cpu_ratio,load1
2026-08-03T03:29:08+01:00,1,O2,2397.7,2398.93,1.000,35.47
2026-08-03T04:12:47+01:00,1,O3,2618.33,2619.53,1.000,34.62
2026-08-03T04:51:28+01:00,1,Ofast,2319.64,2320.86,1.000,35.18
2026-08-03T05:32:44+01:00,2,O2,2474.01,2475.25,1.000,35.92
2026-08-03T06:11:08+01:00,2,O3,2303.54,2304.70,1.000,35.72
2026-08-03T06:47:56+01:00,2,Ofast,2206.62,2207.77,1.000,35.98
2026-08-03T07:26:45+01:00,3,O2,2326.87,2328.11,1.000,34.57
2026-08-03T08:18:17+01:00,3,O3,3089.86,3092.19,1.000,35.56
2026-08-03T08:59:23+01:00,3,Ofast,2463.86,2465.95,1.000,34.79
