iso,round,variant,loop_wall_s,e2e_s,cpu_ratio,load1
2026-08-03T18:37:44+01:00,1,O2,2820.88,2822.07,1.000,47.78
2026-08-03T19:19:50+01:00,1,O3,2524.58,2525.75,1.000,68.19
2026-08-03T20:02:13+01:00,1,Ofast,2540.34,2542.63,1.000,34.99
2026-08-03T20:47:55+01:00,2,O2,2741.08,2742.26,1.000,34.16
2026-08-03T21:37:47+01:00,2,O3,2990.26,2991.44,1.000,39.41
2026-08-03T22:16:10+01:00,2,Ofast,2301.11,2303.19,1.000,36.77
2026-08-03T23:11:49+01:00,3,O2,3336.94,3339.07,1.000,38.73
2026-08-04T00:04:10+01:00,3,O3,3138.43,3140.52,1.000,36.26
2026-08-04T00:44:45+01:00,3,Ofast,2432.52,2434.66,1.000,42.47
