iso,backend,prec,N,rep,loop_wall_s,e2e_wall_s,load1,steps,fallbacks
2026-07-25T08:29:40+01:00,gpu,fp32,384,2,17.497,18.39,3.34,3917,145070
2026-07-25T08:29:58+01:00,gpu,fp32,384,3,22.760,23.62,3.22,3917,145070
2026-07-25T08:29:48+01:00,gpu,fp64,512,7,32.575,34.20,3.22,5239,374657
2026-07-25T08:30:22+01:00,gpu,fp32,384,4,23.751,24.87,3.42,3917,145070
2026-07-25T08:30:22+01:00,gpu,fp64,512,8,32.409,34.04,3.47,5239,374657
2026-07-25T08:30:47+01:00,gpu,fp32,384,5,16.082,16.97,3.40,3917,145070
2026-07-25T08:31:04+01:00,gpu,fp32,384,6,25.071,26.03,3.44,3917,145070
2026-07-25T08:30:56+01:00,gpu,fp64,512,9,32.572,34.07,3.44,5239,374657
2026-07-25T08:31:30+01:00,gpu,fp32,384,7,22.051,22.86,3.52,3917,145070
2026-07-25T08:31:30+01:00,gpu,fp64,512,10,32.630,34.02,3.51,5239,374657
2026-07-25T08:31:53+01:00,gpu,fp32,384,8,15.366,16.22,3.47,3917,145070
2026-07-25T08:32:09+01:00,gpu,fp32,384,9,12.303,13.10,3.37,3917,145070
2026-07-25T08:32:21+01:00,gpu,fp32,256,1,5.965,6.55,3.34,2595,37380
2026-07-25T08:32:22+01:00,gpu,fp32,384,10,13.692,14.48,3.36,3917,145070
2026-07-25T08:32:28+01:00,gpu,fp32,256,2,8.157,8.83,3.36,2595,37380
2026-07-25T08:32:37+01:00,gpu,fp32,256,3,11.929,12.69,3.30,2595,37380
2026-07-25T08:32:50+01:00,gpu,fp32,256,4,10.533,11.12,3.26,2595,37380
2026-07-25T08:33:01+01:00,gpu,fp32,256,5,9.026,9.58,3.22,2595,37380
2026-07-25T08:33:10+01:00,gpu,fp32,256,6,11.939,12.56,3.32,2595,37380
2026-07-25T08:33:23+01:00,gpu,fp32,256,7,1.923,2.55,3.32,2595,37380
2026-07-25T08:33:26+01:00,gpu,fp32,256,8,11.937,12.59,3.39,2595,37380
2026-07-25T08:33:38+01:00,gpu,fp32,256,9,8.369,9.08,3.33,2595,37380
2026-07-25T08:33:24+01:00,gpu,fp32,512,1,21.683,23.05,3.33,5239,374969
2026-07-25T08:33:47+01:00,gpu,fp32,256,10,11.882,12.80,3.35,2595,37380
2026-07-25T08:33:47+01:00,gpu,fp32,512,2,23.927,25.27,3.35,5239,374969
2026-07-25T08:34:13+01:00,gpu,fp32,512,3,23.403,24.91,3.30,5239,374969
2026-07-25T08:34:37+01:00,gpu,fp32,384,1,14.516,15.32,3.23,3917,145070
2026-07-25T08:34:38+01:00,gpu,fp32,512,4,24.566,25.82,3.20,5239,374969
2026-07-25T08:34:52+01:00,gpu,fp32,384,2,14.546,15.42,3.34,3917,145070
2026-07-25T08:35:07+01:00,gpu,fp32,384,3,19.797,20.83,3.45,3917,145070
2026-07-25T08:35:04+01:00,gpu,fp32,512,5,23.836,25.07,3.45,5239,374969
2026-07-25T08:35:28+01:00,gpu,fp32,384,4,17.382,18.20,3.32,3917,145070
2026-07-25T08:35:29+01:00,gpu,fp32,512,6,24.546,25.77,3.29,5239,374969
2026-07-25T08:35:46+01:00,gpu,fp32,384,5,14.720,15.60,3.25,3917,145070
2026-07-25T08:35:55+01:00,gpu,fp32,512,7,24.578,25.78,3.19,5239,374969
2026-07-25T08:36:02+01:00,gpu,fp32,384,6,17.618,18.68,3.19,3917,145070
2026-07-25T08:36:21+01:00,gpu,fp32,384,7,19.807,20.70,3.13,3917,145070
2026-07-25T08:36:20+01:00,gpu,fp32,512,8,23.741,25.26,3.13,5239,374969
2026-07-25T08:36:42+01:00,gpu,fp32,384,8,13.456,14.52,3.11,3917,145070
2026-07-25T08:36:46+01:00,gpu,fp32,512,9,24.179,25.42,3.08,5239,374969
2026-07-25T08:36:56+01:00,gpu,fp32,384,9,15.003,15.87,3.08,3917,145070
2026-07-25T08:37:12+01:00,gpu,fp32,384,10,19.759,20.63,3.05,3917,145070
2026-07-25T08:37:11+01:00,gpu,fp32,512,10,22.964,24.17,3.05,5239,374969
2026-07-25T08:37:54+01:00,gpu,fp32,512,1,8.549,10.09,2.69,5239,374969
2026-07-25T08:38:04+01:00,gpu,fp32,512,2,8.527,9.82,2.59,5239,374969
2026-07-25T08:38:14+01:00,gpu,fp32,512,3,8.527,9.83,2.65,5239,374969
2026-07-25T08:38:24+01:00,gpu,fp32,512,4,8.536,9.83,2.55,5239,374969
2026-07-25T08:38:34+01:00,gpu,fp32,512,5,8.527,9.82,2.47,5239,374969
2026-07-25T08:38:43+01:00,gpu,fp32,512,6,8.523,10.11,2.39,5239,374969
2026-07-25T08:38:54+01:00,gpu,fp32,512,7,8.531,10.09,2.41,5239,374969
2026-07-25T08:39:04+01:00,gpu,fp32,512,8,8.524,9.85,2.35,5239,374969
2026-07-25T08:39:14+01:00,gpu,fp32,512,9,8.521,9.81,2.29,5239,374969
2026-07-25T08:39:23+01:00,gpu,fp32,512,10,8.530,10.02,2.25,5239,374969
